date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:13	105/105	---M--	200	added ('OK')	text/plain	date:Tue,%2028%20Jul%202015%2021:26:20%20GMT	http://themechills.com/robots.txt		(from )
15:10:14	26169/26169	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Feb%202015%2009:42:28%20GMT	http://themechills.com/preview/html/eternity/	C:/My%20Web%20Sites/wedding/themechills.com/preview/html/eternity/index.html	(from )
15:10:14	1870/1870	---M--	200	added ('OK')	text/css	date:Sun,%2015%20Feb%202015%2009:35:31%20GMT	http://themechills.com/preview/html/eternity/css/normalize.min.css	C:/My%20Web%20Sites/wedding/themechills.com/preview/html/eternity/css/normalize.min.css	(from http://themechills.com/preview/html/eternity/)
15:10:15	4872/4872	---M--	200	added ('OK')	text/css	date:Sun,%2015%20Feb%202015%2009:35:24%20GMT	http://themechills.com/preview/html/eternity/css/flexslider.css	C:/My%20Web%20Sites/wedding/themechills.com/preview/html/eternity/css/flexslider.css	(from http://themechills.com/preview/html/eternity/)
15:10:16	81826/81826	---M--	200	added ('OK')	text/css	date:Sun,%2015%20Feb%202015%2009:35:28%20GMT	http://themechills.com/preview/html/eternity/css/foundation.min.css	C:/My%20Web%20Sites/wedding/themechills.com/preview/html/eternity/css/foundation.min.css	(from http://themechills.com/preview/html/eternity/)
15:10:17	12759/12759	---M--	200	added ('OK')	text/css	date:Sun,%2015%20Feb%202015%2009:35:33%20GMT	http://themechills.com/preview/html/eternity/css/style.css?v1.5	C:/My%20Web%20Sites/wedding/themechills.com/preview/html/eternity/css/style0be4.css	(from http://themechills.com/preview/html/eternity/)
15:10:18	5690/5690	---M--	200	added ('OK')	text/css	date:Sun,%2015%20Feb%202015%2009:35:30%20GMT	http://themechills.com/preview/html/eternity/css/media-queries.css?v1.5	C:/My%20Web%20Sites/wedding/themechills.com/preview/html/eternity/css/media-queries0be4.css	(from http://themechills.com/preview/html/eternity/)
15:10:19	18465/18465	---M--	200	added ('OK')	text/css	date:Sun,%2015%20Feb%202015%2009:35:25%20GMT	http://themechills.com/preview/html/eternity/css/font-awesome.min.css	C:/My%20Web%20Sites/wedding/themechills.com/preview/html/eternity/css/font-awesome.min.css	(from http://themechills.com/preview/html/eternity/)
15:10:19	2075/2075	---M--	200	added ('OK')	image/png	etag:%2281b-50f1d32b8e6c0%22	http://themechills.com/preview/html/eternity/img/apple-touch-icon-144-precomposed.png	C:/My%20Web%20Sites/wedding/themechills.com/preview/html/eternity/img/apple-touch-icon-144-precomposed.png	(from http://themechills.com/preview/html/eternity/)
15:10:19	1875/1875	---M--	200	added ('OK')	image/png	etag:%22753-50f1d32a9a480%22	http://themechills.com/preview/html/eternity/img/apple-touch-icon-114-precomposed.png	C:/My%20Web%20Sites/wedding/themechills.com/preview/html/eternity/img/apple-touch-icon-114-precomposed.png	(from http://themechills.com/preview/html/eternity/)
